Dish Name,Ingredients,Cuisine,Type,Craving Type
Butter Chicken,"Chicken, Butter, Cream",North Indian,Curry,Rich
Paneer Tikka,"Paneer, Spices, Yogurt",North Indian,Appetizer,Spicy
Biryani,"Rice, Meat, Spices",Hyderabadi,Rice,Spicy
Samosa,"Potato, Flour, Spices",North Indian,Snack,Spicy
Masala Dosa,"Rice Batter, Potato",South Indian,South Indian,Spicy
Pav Bhaji,"Vegetables, Butter, Pav Bread",Maharashtrian,Snack,Spicy
Chole Bhature,"Chickpeas, Flour, Spices",North Indian,Curry,Rich
Vada Pav,"Potato, Bread Roll, Spices",Maharashtrian,Snack,Spicy
Rajma Chawal,"Kidney Beans, Rice, Spices",North Indian,Rice,Savory
Palak Paneer,"Spinach, Paneer, Spices",North Indian,Curry,Savory
Dal Makhani,"Lentils, Butter, Cream",North Indian,Curry,Rich
Aloo Paratha,"Potatoes, Wheat Flour, Spices",North Indian,Bread,Savory
Tandoori Chicken,"Chicken, Yogurt, Spices",North Indian,Appetizer,Spicy
Naan,"Wheat Flour, Yeast, Yogurt",North Indian,Bread,Rich
Pani Puri,"Flour, Tamarind, Spices",North Indian,Snack,Spicy
Kofta,"Meat, Spices, Flour",Mughlai,Curry,Rich
Fish Curry,"Fish, Coconut, Spices",Goan,Curry,Spicy
Gajar Ka Halwa,"Carrot, Milk, Sugar",North Indian,Dessert,Sweet
Rogan Josh,"Mutton, Yogurt, Spices",Kashmiri,Curry,Spicy
Malai Kofta,"Paneer, Potatoes, Cream",North Indian,Curry,Rich
Baingan Bharta,"Eggplant, Spices, Tomato",North Indian,Curry,Spicy
Rasgulla,"Cheese, Sugar Syrup",Bengali,Dessert,Sweet
Dhokla,"Gram Flour, Yogurt, Spices",Gujarati,Snack,Savory
Kadhi,"Gram Flour, Yogurt, Spices",Rajasthani,Curry,Savory
Aloo Gobi,"Potatoes, Cauliflower, Spices",North Indian,Curry,Savory
Mutton Biryani,"Rice, Mutton, Spices",Hyderabadi,Rice,Spicy
Sev Puri,"Puffed Rice, Sev, Chutney",Mumbai Street Food,Snack,Spicy
"Kebabs (Seekh, Shami, Galouti)","Meat, Spices, Onion",Mughlai,Appetizer,Spicy
Chicken Tikka Masala,"Chicken, Yogurt, Cream",North Indian,Curry,Rich
Prawn Masala,"Prawns, Tomato, Spices",Goan,Curry,Spicy
Kheer,"Rice, Milk, Sugar",North Indian,Dessert,Sweet
Lassi,"Yogurt, Water, Sugar",Punjabi,Beverage,Sweet
Pesarattu,"Green Gram, Rice, Spices",South Indian,Snack,Spicy
Appam,"Rice Flour, Coconut, Yeast",South Indian,Bread,Savory
Hyderabadi Haleem,"Meat, Wheat, Spices",Hyderabadi,Curry,Rich
Dum Aloo,"Potatoes, Yogurt, Spices",Kashmiri,Curry,Spicy
Poha,"Flattened Rice, Peanuts, Spices",Maharashtrian,Snack,Spicy
Upma,"Semolina, Vegetables, Spices",South Indian,Breakfast,Savory
Jalebi,"Flour, Sugar Syrup, Ghee",North Indian,Dessert,Sweet
Chana Masala,"Chickpeas, Tomato, Spices",North Indian,Curry,Spicy
Prawn Biryani,"Rice, Prawns, Spices",South Indian,Rice,Spicy
Egg Curry,"Eggs, Tomato, Spices",North Indian,Curry,Spicy
Paneer Bhurji,"Paneer, Tomato, Onion",North Indian,Curry,Savory
Kachori,"Flour, Lentils, Spices",Rajasthani,Snack,Spicy
Thepla,"Wheat Flour, Fenugreek, Spices",Gujarati,Bread,Savory
Chicken Korma,"Chicken, Yogurt, Cashew",Mughlai,Curry,Rich
Beetroot Halwa,"Beetroot, Milk, Sugar",North Indian,Dessert,Sweet
Bhatura,"Flour, Yogurt, Oil",North Indian,Bread,Rich
Mysore Pak,"Gram Flour, Ghee, Sugar",South Indian,Dessert,Sweet
Murgh Musallam,"Chicken, Spices, Yogurt",Mughlai,Curry,Rich
Chicken Biryani,"Rice, Chicken, Spices",Hyderabadi,Rice,Spicy
Mutton Rogan Josh,"Mutton, Yogurt, Spices",Kashmiri,Curry,Spicy
Paneer Butter Masala,"Paneer, Tomato, Cream",North Indian,Curry,Rich
Chicken Tandoori,"Chicken, Yogurt, Spices",North Indian,Appetizer,Spicy
Daal Tadka,"Lentils, Spices, Ghee",North Indian,Curry,Savory
Mutton Keema,"Minced Mutton, Spices, Peas",Mughlai,Curry,Spicy
Vegetable Biryani,"Rice, Vegetables, Spices",North Indian,Rice,Savory
Fish Fry,"Fish, Flour, Spices",South Indian,Appetizer,Spicy
Kesar Pista Kulfi,"Milk, Saffron, Pistachios",North Indian,Dessert,Sweet
Kadai Paneer,"Paneer, Capsicum, Tomato",North Indian,Curry,Spicy
Gulab Jamun,"Milk Solids, Sugar Syrup",North Indian,Dessert,Sweet
Aloo Tikki,"Potatoes, Peas, Spices",North Indian,Snack,Spicy
Veg Manchurian,"Vegetables, Flour, Soy Sauce",Indo-Chinese,Appetizer,Spicy
Chicken Manchurian,"Chicken, Flour, Soy Sauce",Indo-Chinese,Appetizer,Spicy
Mysore Masala Dosa,"Rice Batter, Potato Filling",South Indian,Bread,Spicy
Aloo Puri,"Potatoes, Wheat Flour, Spices",North Indian,Snack,Savory
Methi Malai Murg,"Chicken, Fenugreek, Cream",North Indian,Curry,Rich
Mushroom Masala,"Mushrooms, Tomato, Spices",North Indian,Curry,Spicy
Egg Bhurji,"Eggs, Onion, Tomato",North Indian,Breakfast,Spicy
Sabudana Vada,"Tapioca, Peanuts, Spices",Maharashtrian,Snack,Savory
